scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 605, 3616, 19, 5611, ontime, 24.599999999999994
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 488, 3604, 22, 7692, ontime, 26.399999999999995
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1897, 7916, 1, 10152, timeout, 1.0
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 2905, 8994, 5, 10150, timeout, 5.0
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 4212, 9731, 11, 10154, timeout, 12.600000000000001
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 5080, 9748, 21, 10152, timeout, 23.5
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 6682, 10962, 45, 10149, timeout, 52.39999999999999
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 19, 54, 19, 742, ontime, 19.0
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 2687, 3811, 57, 4931, ontime, 61.999999999999986
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 8016, 9301, 288, 7114, ontime, 307.0
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 2226, 2618, 98, 3713, ontime, 103.60000000000001
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 947, 1118, 51, 2042, ontime, 53.099999999999994
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 53, 53, 53, 972, ontime, 53.8
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 30, 30, 30, 1087, ontime, 31.199999999999996
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 76, 76, 76, 1520, ontime, 76.4
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 114, 114, 114, 1964, ontime, 115.20000000000002
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 71, 71, 71, 1713, ontime, 71.80000000000001
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 29, 0, 29, 1072, ontime, 30.599999999999998
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 133, 0, 133, 1999, ontime, 133.0
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 69, 0, 69, 1948, ontime, 70.6
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 51, 0, 51, 1694, ontime, 51.8
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 20, 0, 20, 976, ontime, 21.2
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 30, 0, 30, 1328, ontime, 31.199999999999996
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 19, 0, 19, 1068, ontime, 19.799999999999997
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 51, 0, 51, 2236, ontime, 51.8
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 77, 0, 77, 3005, ontime, 77.80000000000001
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 21, 0, 21, 1207, ontime, 21.799999999999997
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 142, 793, 20, 2407, ontime, 22.8
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 0, 22, 253, 22, 1048, ontime, 23.2
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1342, 7129, 3, 10121, timeout, 3.0
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4396, 12100, 6, 10122, timeout, 6.8
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 7924, 14954, 28, 10112, timeout, 29.199999999999996
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 7724, 13909, 26, 10113, timeout, 27.3
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8770, 14013, 53, 10134, timeout, 57.59999999999999
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 1335, 1824, 62, 2457, ontime, 66.8
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 1777, 2466, 38, 3165, ontime, 41.8
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 5753, 6662, 198, 4535, ontime, 210.80000000000013
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 3115, 3606, 117, 3066, ontime, 124.30000000000001
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 266, 321, 26, 997, ontime, 27.199999999999996
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 22, 22, 22, 545, ontime, 23.2
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 138, 138, 138, 1438, ontime, 138.4
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 116, 116, 116, 1854, ontime, 116.4
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 44, 44, 44, 1354, ontime, 44.4
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 173, 173, 173, 2799, ontime, 174.6
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 32, 0, 32, 1050, ontime, 33.199999999999996
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 48, 0, 48, 1141, ontime, 48.4
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 36, 0, 36, 1230, ontime, 36.4
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 61, 0, 61, 2180, ontime, 61.0
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 44, 0, 44, 1207, ontime, 45.99999999999999
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 71, 0, 71, 2098, ontime, 71.0
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 45, 0, 45, 1441, ontime, 45.8
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 36, 0, 36, 1185, ontime, 36.4
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 87, 0, 87, 2516, ontime, 87.80000000000001
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 47, 0, 47, 1818, ontime, 47.8
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 46, 216, 23, 956, ontime, 25.4
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 0, 897, 7346, 0, 10140, timeout, 0.0
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 19, 169, 19, 752, ontime, 19.0
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4483, 12077, 8, 10120, timeout, 8.4
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 5605, 12488, 21, 10102, timeout, 21.8
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 21, 95, 21, 680, ontime, 21.8
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 9326, 14797, 46, 10107, timeout, 47.3
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 10980, 15636, 162, 10113, timeout, 181.50000000000009
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 2447, 3343, 68, 2964, ontime, 73.19999999999999
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 5982, 6982, 216, 4694, ontime, 233.10000000000014
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 1315, 1529, 60, 1861, ontime, 62.79999999999999
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 3156, 3682, 130, 3015, ontime, 140.10000000000008
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 27, 27, 27, 660, ontime, 27.799999999999997
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 32, 32, 32, 810, ontime, 32.4
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 47, 47, 47, 1008, ontime, 47.8
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 36, 36, 36, 1014, ontime, 37.199999999999996
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 45, 45, 45, 1280, ontime, 46.6
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 19, 0, 19, 659, ontime, 19.0
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 56, 0, 56, 1062, ontime, 57.199999999999996
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 50, 0, 50, 764, ontime, 51.199999999999996
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 41, 0, 41, 1803, ontime, 41.8
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 59, 0, 59, 2304, ontime, 59.8
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 19, 0, 19, 878, ontime, 19.0
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 49, 0, 49, 1578, ontime, 49.0
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 87, 0, 87, 2257, ontime, 87.0
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 41, 0, 41, 1548, ontime, 41.8
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 29, 0, 29, 902, ontime, 29.799999999999997
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 5, 55, 21, 517, ontime, 22.6
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 988, 6795, 24, 7562, ontime, 26.799999999999997
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 2868, 13640, 6, 10104, timeout, 6.4
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4762, 14247, 6, 10105, timeout, 7.699999999999999
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 8174, 16428, 23, 10109, timeout, 24.599999999999998
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 7686, 14370, 24, 10126, timeout, 26.099999999999998
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8362, 13944, 54, 10131, timeout, 59.09999999999999
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 4205, 5492, 59, 4228, ontime, 88.50000000000004
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 2070, 2833, 37, 2876, ontime, 41.199999999999996
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 2574, 3087, 144, 2894, ontime, 154.00000000000003
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 2911, 3395, 111, 3089, ontime, 116.00000000000003
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 2979, 3452, 111, 2999, ontime, 122.50000000000003
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 119, 119, 119, 1495, ontime, 119.0
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 226, 226, 226, 1780, ontime, 227.20000000000002
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 41, 41, 41, 631, ontime, 41.0
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 95, 95, 95, 1378, ontime, 95.0
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 81, 81, 81, 1548, ontime, 81.80000000000001
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 41, 0, 41, 1154, ontime, 42.6
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 27, 0, 27, 859, ontime, 27.799999999999997
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 92, 0, 92, 1353, ontime, 92.4
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 80, 0, 80, 1213, ontime, 81.20000000000002
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 49, 0, 49, 1669, ontime, 49.8
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 58, 0, 58, 1504, ontime, 58.4
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 48, 0, 48, 1905, ontime, 48.4
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 29, 0, 29, 1009, ontime, 29.799999999999997
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 72, 0, 72, 1709, ontime, 74.0
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 24, 0, 24, 825, ontime, 25.2
